date,nav,cash,positions_value
2025-01-02,494012.51276000007,210777.76694500004,283234.74581500003
2025-01-03,489620.709825,244624.02548500002,244996.68434
2025-01-06,487530.200244,125697.23450900002,361832.965735
2025-01-07,490733.82820700004,122768.20465900004,367965.623548
2025-01-08,498481.21082900005,122768.20465900004,375713.00617
2025-01-10,491740.126822,149843.705774,341896.421048
2025-01-13,484603.862224,192283.307524,292320.5547
2025-01-14,486011.702229,192283.307524,293728.394705
2025-01-15,481651.69966700004,192283.307524,289368.39214300003
2025-01-16,481617.093122,198123.59596000004,283493.497162
2025-01-17,484692.77055300004,160254.15901600005,324438.611537
2025-01-21,485308.176843,185972.15261600004,299336.02422699996
2025-01-22,483181.81685800006,163877.84381600004,319303.973042
2025-01-23,479624.0595150001,204053.99155600005,275570.067959
2025-01-24,478326.26941700006,225254.87114000006,253071.398277
2025-01-27,479795.17426400003,233388.22062800004,246406.95363600002
2025-01-28,479345.6480240001,199409.32542800004,279936.32259600004
2025-01-29,479745.22690400004,229612.78782800003,250132.439076
2025-01-30,479745.22690400004,229612.78782800003,250132.439076
2025-01-31,479745.22690400004,229612.78782800003,250132.439076
2025-02-03,479629.17058400006,243703.95934800003,235925.21123600003
2025-02-04,479629.17058400006,243703.95934800003,235925.21123600003
2025-02-05,472699.703699,243703.95934800003,228995.74435099997
2025-02-06,473242.46847900003,267580.756148,205661.71233100002
2025-02-07,473342.92183500004,232228.93070800003,241113.99112700004
2025-02-10,471505.57224500005,142302.88090000005,329202.691345
2025-02-11,473392.26077900006,106597.58301900006,366794.67776
2025-02-12,471307.78080300003,75099.40669900006,396208.374104
2025-02-13,471864.15484300005,75099.40669900006,396764.748144
2025-02-14,470730.60643100005,87124.24339900006,383606.36303199996
2025-02-18,468881.46008700004,115074.60393500005,353806.856152
2025-02-19,464935.7218950001,128975.37929500006,335960.34260000003
2025-02-20,466363.43781500007,116171.46579100007,350191.972024
2025-02-21,458035.2938990001,133616.85102100007,324418.44287800003
2025-02-24,463017.8544390001,133616.85102100007,329401.003418
2025-02-25,461080.64710000006,165252.37847100006,295828.268629
2025-02-26,462946.3559390001,133045.14551100007,329901.210428
2025-02-27,473066.8602040001,122306.56132600007,350760.298878
2025-02-28,476409.5984770001,98049.92892600007,378359.669551
2025-03-03,471722.5718260001,111600.18564600007,360122.38618000003
2025-03-04,468853.5508930001,90340.40382200007,378513.147071
2025-03-05,472254.05839300004,73703.59248700007,398550.465906
2025-03-06,469744.72673500015,59099.83888700008,410644.88784800004
2025-03-07,467199.8190490001,24928.09843700008,442271.72061200003
2025-03-10,463631.86962300015,80784.13409500007,382847.73552800005
2025-03-11,466508.049875,119689.21009500007,346818.83978
2025-03-12,470543.76263300003,119689.21009500007,350854.55253799993
2025-03-13,474475.877877,119689.21009500007,354786.667782
2025-03-14,481659.91880900005,119689.21009500007,361970.708714
2025-03-17,477107.536019,119689.21009500007,357418.32592399995
2025-03-18,474759.8144850001,119689.21009500007,355070.60439
2025-03-19,473656.73965500004,119689.21009500007,353967.52956
2025-03-20,474496.303479,142185.93895900008,332310.36451999994
2025-03-21,470802.92241900007,142185.93895900008,328616.98346
2025-03-24,473557.9318590001,142185.93895900008,331371.9929
2025-03-25,470688.72194100014,103045.8242550001,367642.89768600004
2025-03-26,489576.94779000006,199381.01221600006,290195.935574
2025-03-27,491643.9572560001,199381.01221600006,292262.94504
2025-03-28,494113.61150000006,199381.01221600006,294732.599284
2025-03-31,502050.44704100006,268233.37900600006,233817.068035
